Tmean	precip	snow	year	
45.55123692	45.09	138.5	1981
41.87399775	49.81	242.7	1982
43.05469346	47.67	236	1983
43.81815478	27.87	170.9	1984
44.13923193	22.3	162	1985
44.31901829	39.53	129	1986
45.0053657	21.27	117.8	1987
45.52982133	26.83	173.7	1988
44.04973355	24.2	130	1989
44.01194143	22.03	155	1990
44.79004107	18.32	56.5	1991
45.66234747	27.84	167	1992
42.78665542	32.29	174.2	1993
44.47862276	34.37	158	1994
44.34504253	43.42	194	1995
44.30958956	64.93	332.2	1996
44.64195267	39.18	164	1997
42.44833529	46.81	287.5	1998
43.91411215	37.37	253	1999
44.53227596	37.78	202	2000
45.64924954	28.38	250.3	2001
45.108194	28.81	212.1	2002
45.12056321	31.2	229	2003
44.06784441	29.81	258.8	2004
43.73787523	44.51	198	2005
44.03715655	29.53	192.7	2006
44.26063362	23.93	178.5	2007
43.91002856	26.96	276	2008
43.67391464	24.38	180.5	2009
42.8007358	45.43	309	2010
42.73966461	29.72	200	2011
44.87594704	41.81	229	2012
44.31061895	16.75	108.5	2013
46.46066784	30.5	115.5	2014
45.47872054	27.71	156.5	2015
